case_id,case_description,element_id,x_mm,y_mm,area_mm2,stress_vm_mpa,displacement_mm,temperature_c,heat_flux_w_mm2,block_id
case_01_baseline,Baseline design,1,0.0,0.0,4.543292,93.4386,0.06977,80.7355,0.01837723,1
case_01_baseline,Baseline design,2,2.0408,0.0,4.12127,94.0432,0.068842,76.7777,0.01865435,1
case_01_baseline,Baseline design,3,4.0816,0.0,4.649896,89.125,0.070941,78.0993,0.01701828,1
case_01_baseline,Baseline design,4,6.1224,0.0,4.446831,94.5435,0.070597,76.6036,0.019203,1
case_01_baseline,Baseline design,5,8.1633,0.0,3.687127,92.4514,0.074446,77.0821,0.02010736,1
case_01_baseline,Baseline design,6,10.2041,0.0,4.797285,87.694,0.083018,77.2592,0.01958163,1
case_01_baseline,Baseline design,7,12.2449,0.0,4.52715,91.5474,0.075576,76.7468,0.02113338,1
case_01_baseline,Baseline design,8,14.2857,0.0,4.558542,97.0471,0.079694,76.7532,0.02106915,1
case_01_baseline,Baseline design,9,16.3265,0.0,3.729869,98.1713,0.088259,77.8423,0.02259556,1
case_01_baseline,Baseline design,10,18.3673,0.0,4.135763,94.9224,0.079923,76.5553,0.02281341,1
case_01_baseline,Baseline design,11,20.4082,0.0,4.035524,88.3657,0.091308,79.0258,0.0224375,2
case_01_baseline,Baseline design,12,22.449,0.0,4.735751,94.3714,0.086077,76.9139,0.02048678,2
case_01_baseline,Baseline design,13,24.4898,0.0,4.379445,95.744,0.095263,81.3865,0.02555586,2
case_01_baseline,Baseline design,14,26.5306,0.0,4.604761,95.3937,0.093286,77.4731,0.02296911,2
case_01_baseline,Baseline design,15,28.5714,0.0,4.126982,95.6531,0.093732,78.101,0.02335149,2
case_01_baseline,Baseline design,16,30.6122,0.0,3.854715,94.1861,0.094523,76.4598,0.02322743,2
case_01_baseline,Baseline design,17,32.6531,0.0,4.266999,92.6259,0.094633,80.0612,0.02325338,2
case_01_baseline,Baseline design,18,34.6939,0.0,3.648889,90.6754,0.099835,79.357,0.02652229,2
case_01_baseline,Baseline design,19,36.7347,0.0,4.610894,86.0582,0.105582,78.3695,0.02647996,2
case_01_baseline,Baseline design,20,38.7755,0.0,4.364079,93.77,0.104456,76.3967,0.02523588,2
case_01_baseline,Baseline design,21,40.8163,0.0,4.523306,93.11,0.105811,78.2652,0.02454944,3
case_01_baseline,Baseline design,22,42.8571,0.0,4.01503,94.2962,0.108696,76.6663,0.02575319,3
case_01_baseline,Baseline design,23,44.898,0.0,4.791083,87.5651,0.11634,79.7663,0.02502099,3
case_01_baseline,Baseline design,24,46.9388,0.0,4.693377,94.4254,0.119991,78.9821,0.02468235,3
case_01_baseline,Baseline design,25,48.9796,0.0,4.548868,99.2997,0.115191,78.1251,0.02550361,3
case_01_baseline,Baseline design,26,51.0204,0.0,3.813656,92.3417,0.118,75.0865,0.02433472,3
case_01_baseline,Baseline design,27,53.0612,0.0,4.156337,91.8236,0.125052,76.8295,0.02534612,3
case_01_baseline,Baseline design,28,55.102,0.0,3.623683,93.1036,0.132549,78.8345,0.02521668,3
case_01_baseline,Baseline design,29,57.1429,0.0,3.762837,99.1249,0.133971,79.4641,0.02572899,3
case_01_baseline,Baseline design,30,59.1837,0.0,4.428796,88.4232,0.12737,79.3392,0.02378207,3
case_01_baseline,Baseline design,31,61.2245,0.0,4.506523,92.7141,0.134353,76.0973,0.02563459,4
case_01_baseline,Baseline design,32,63.2653,0.0,4.787068,89.2026,0.134759,78.3691,0.02304154,4
case_01_baseline,Baseline design,33,65.3061,0.0,3.978882,90.0861,0.140524,79.2254,0.02334746,4
case_01_baseline,Baseline design,34,67.3469,0.0,4.035098,91.8267,0.151164,76.0164,0.02319273,4
case_01_baseline,Baseline design,35,69.3878,0.0,4.159907,96.7158,0.142246,77.9964,0.02213325,4
case_01_baseline,Baseline design,36,71.4286,0.0,3.807148,98.3036,0.144689,78.3341,0.02499643,4
case_01_baseline,Baseline design,37,73.4694,0.0,3.732146,93.5686,0.151115,77.6442,0.02172847,4
case_01_baseline,Baseline design,38,75.5102,0.0,4.167652,90.682,0.15888,75.7821,0.0218215,4
case_01_baseline,Baseline design,39,77.551,0.0,3.8543,100.7246,0.163551,77.6135,0.02442079,4
case_01_baseline,Baseline design,40,79.5918,0.0,4.412127,90.5036,0.166191,77.6112,0.02133097,4
case_01_baseline,Baseline design,41,81.6327,0.0,4.119095,90.0011,0.172551,77.8259,0.02153659,5
case_01_baseline,Baseline design,42,83.6735,0.0,4.617251,85.7877,0.164238,77.3271,0.01991703,5
case_01_baseline,Baseline design,43,85.7143,0.0,4.45048,96.8863,0.179519,77.4714,0.02228665,5
case_01_baseline,Baseline design,44,87.7551,0.0,3.961931,95.3889,0.177026,77.9551,0.021897,5
case_01_baseline,Baseline design,45,89.7959,0.0,4.616724,100.4623,0.184742,78.5334,0.0213142,5
case_01_baseline,Baseline design,46,91.8367,0.0,4.582094,87.1367,0.180096,77.6369,0.02058189,5
case_01_baseline,Baseline design,47,93.8776,0.0,4.056533,97.1036,0.189015,77.5104,0.01944851,5
case_01_baseline,Baseline design,48,95.9184,0.0,3.931655,92.2455,0.193578,78.1126,0.01810858,5
case_01_baseline,Baseline design,49,97.9592,0.0,4.428099,94.8214,0.200924,75.6965,0.01722604,5
case_01_baseline,Baseline design,50,100.0,0.0,3.744528,86.2328,0.193659,78.5739,0.01993486,5
case_01_baseline,Baseline design,51,0.0,2.0571,3.820293,97.1468,0.072364,78.022,0.01914721,1
case_01_baseline,Baseline design,52,2.0408,2.0571,3.577786,94.7699,0.068459,78.0707,0.01740673,1
case_01_baseline,Baseline design,53,4.0816,2.0571,4.559625,91.8966,0.075739,79.1764,0.01895128,1
case_01_baseline,Baseline design,54,6.1224,2.0571,4.405876,94.3178,0.077954,75.6804,0.01888255,1
case_01_baseline,Baseline design,55,8.1633,2.0571,4.456651,89.4248,0.081285,75.6555,0.01807612,1
case_01_baseline,Baseline design,56,10.2041,2.0571,4.551822,90.1439,0.075425,78.3528,0.02046335,1
case_01_baseline,Baseline design,57,12.2449,2.0571,4.146506,90.6485,0.082822,78.0158,0.01999306,1
case_01_baseline,Baseline design,58,14.2857,2.0571,4.284829,85.9208,0.086212,78.2286,0.01959615,1
case_01_baseline,Baseline design,59,16.3265,2.0571,3.744584,95.5942,0.075948,77.4699,0.0192025,1
case_01_baseline,Baseline design,60,18.3673,2.0571,3.712761,96.9552,0.086813,78.8216,0.01945767,1
case_01_baseline,Baseline design,61,20.4082,2.0571,4.41035,90.5592,0.090125,79.1434,0.02161278,2
case_01_baseline,Baseline design,62,22.449,2.0571,4.161847,94.4658,0.087261,78.6048,0.02239169,2
case_01_baseline,Baseline design,63,24.4898,2.0571,4.280414,92.5307,0.085533,77.7107,0.02153722,2
case_01_baseline,Baseline design,64,26.5306,2.0571,4.53201,94.7763,0.096298,75.4942,0.0241372,2
case_01_baseline,Baseline design,65,28.5714,2.0571,4.367925,91.53,0.089946,78.9461,0.02335247,2
case_01_baseline,Baseline design,66,30.6122,2.0571,4.265733,90.6516,0.096313,79.4886,0.02458343,2
case_01_baseline,Baseline design,67,32.6531,2.0571,4.272821,97.3584,0.09921,78.7955,0.02368755,2
case_01_baseline,Baseline design,68,34.6939,2.0571,3.951331,93.3103,0.104635,76.9659,0.02300055,2
case_01_baseline,Baseline design,69,36.7347,2.0571,3.607327,100.4135,0.101727,78.8295,0.02454632,2
case_01_baseline,Baseline design,70,38.7755,2.0571,4.118548,93.27,0.104011,79.0529,0.02264886,2
case_01_baseline,Baseline design,71,40.8163,2.0571,3.838777,89.6332,0.109714,79.8902,0.02549287,3
case_01_baseline,Baseline design,72,42.8571,2.0571,4.083045,96.9514,0.115965,76.9676,0.02339136,3
case_01_baseline,Baseline design,73,44.898,2.0571,4.643353,94.6777,0.123761,77.7465,0.02625989,3
case_01_baseline,Baseline design,74,46.9388,2.0571,3.863154,94.864,0.111302,78.9143,0.02443203,3
case_01_baseline,Baseline design,75,48.9796,2.0571,3.641944,96.3745,0.121361,78.0857,0.02656218,3
case_01_baseline,Baseline design,76,51.0204,2.0571,3.922909,89.8432,0.118569,76.6753,0.02328448,3
case_01_baseline,Baseline design,77,53.0612,2.0571,3.938287,91.6298,0.12985,78.5129,0.02392317,3
case_01_baseline,Baseline design,78,55.102,2.0571,4.402181,91.442,0.124926,78.709,0.02545411,3
case_01_baseline,Baseline design,79,57.1429,2.0571,4.270081,87.5048,0.128929,78.1194,0.02655306,3
case_01_baseline,Baseline design,80,59.1837,2.0571,4.555813,91.0889,0.132261,78.2766,0.0271839,3
case_01_baseline,Baseline design,81,61.2245,2.0571,4.4052,96.6829,0.137345,77.7019,0.02460524,4
case_01_baseline,Baseline design,82,63.2653,2.0571,4.080347,92.8334,0.142016,79.7856,0.02713212,4
case_01_baseline,Baseline design,83,65.3061,2.0571,4.593752,87.2901,0.14577,76.9301,0.02374711,4
case_01_baseline,Baseline design,84,67.3469,2.0571,3.778811,86.5553,0.146964,77.3055,0.02561045,4
case_01_baseline,Baseline design,85,69.3878,2.0571,3.597118,97.8272,0.144858,78.0227,0.02230521,4
case_01_baseline,Baseline design,86,71.4286,2.0571,3.681926,91.6842,0.156316,79.0636,0.02408146,4
case_01_baseline,Baseline design,87,73.4694,2.0571,4.478307,89.7344,0.156458,76.2114,0.01964889,4
case_01_baseline,Baseline design,88,75.5102,2.0571,4.150236,91.0413,0.164619,76.4352,0.0211681,4
case_01_baseline,Baseline design,89,77.551,2.0571,3.771631,86.8297,0.160478,75.5617,0.02321963,4
case_01_baseline,Baseline design,90,79.5918,2.0571,4.199567,96.981,0.160273,78.0456,0.0202015,4
case_01_baseline,Baseline design,91,81.6327,2.0571,3.760346,90.6245,0.169953,76.6639,0.022444,5
case_01_baseline,Baseline design,92,83.6735,2.0571,4.445511,96.786,0.178715,77.5438,0.02278105,5
case_01_baseline,Baseline design,93,85.7143,2.0571,4.130436,92.1809,0.17765,78.7985,0.02027311,5
case_01_baseline,Baseline design,94,87.7551,2.0571,4.0484,97.0034,0.179716,77.2345,0.01916297,5
case_01_baseline,Baseline design,95,89.7959,2.0571,3.94826,92.8985,0.180575,78.2815,0.01948568,5
case_01_baseline,Baseline design,96,91.8367,2.0571,4.362338,94.9864,0.194662,77.6443,0.01831977,5
case_01_baseline,Baseline design,97,93.8776,2.0571,4.024207,94.5168,0.187118,78.8097,0.01918095,5
case_01_baseline,Baseline design,98,95.9184,2.0571,3.678906,94.1815,0.191972,78.573,0.0190447,5
case_01_baseline,Baseline design,99,97.9592,2.0571,3.717139,93.2178,0.200822,77.1722,0.01798769,5
case_01_baseline,Baseline design,100,100.0,2.0571,4.779999,91.185,0.194817,77.7999,0.02051155,5
case_01_baseline,Baseline design,101,0.0,4.1143,4.712848,98.7191,0.079562,79.2878,0.01692089,1
case_01_baseline,Baseline design,102,2.0408,4.1143,4.449777,88.8562,0.07752,78.508,0.02052843,1
case_01_baseline,Baseline design,103,4.0816,4.1143,3.90337,92.0734,0.079537,76.3602,0.0173189,1
case_01_baseline,Baseline design,104,6.1224,4.1143,4.789167,92.1585,0.0793,78.8238,0.01942577,1
case_01_baseline,Baseline design,105,8.1633,4.1143,4.549331,93.5934,0.077715,76.7359,0.02152171,1
case_01_baseline,Baseline design,106,10.2041,4.1143,4.471419,90.8024,0.075535,79.7327,0.02186735,1
case_01_baseline,Baseline design,107,12.2449,4.1143,4.134473,93.5825,0.080776,79.2668,0.01995427,1
case_01_baseline,Baseline design,108,14.2857,4.1143,3.911395,92.1295,0.07909,78.3858,0.02182098,1
case_01_baseline,Baseline design,109,16.3265,4.1143,3.689915,87.4905,0.086689,78.2266,0.02201159,1
case_01_baseline,Baseline design,110,18.3673,4.1143,4.705318,93.428,0.089814,77.787,0.02094747,1
case_01_baseline,Baseline design,111,20.4082,4.1143,4.142552,89.95,0.094421,78.8519,0.02304342,2
case_01_baseline,Baseline design,112,22.449,4.1143,3.823385,88.1461,0.092006,77.5924,0.02525842,2
case_01_baseline,Baseline design,113,24.4898,4.1143,3.953858,95.0742,0.096297,78.3196,0.02349907,2
case_01_baseline,Baseline design,114,26.5306,4.1143,4.298026,96.5999,0.093561,79.0827,0.02394821,2
case_01_baseline,Baseline design,115,28.5714,4.1143,3.791154,96.912,0.095054,77.3616,0.02439312,2
case_01_baseline,Baseline design,116,30.6122,4.1143,4.647398,97.0841,0.101144,77.2956,0.0214575,2
case_01_baseline,Baseline design,117,32.6531,4.1143,4.52385,88.2151,0.100047,76.6011,0.02458017,2
case_01_baseline,Baseline design,118,34.6939,4.1143,4.474659,89.9627,0.105073,76.7561,0.02258137,2
case_01_baseline,Baseline design,119,36.7347,4.1143,4.112724,101.2821,0.102212,75.8385,0.02341327,2
case_01_baseline,Baseline design,120,38.7755,4.1143,4.358593,90.3039,0.105446,78.9074,0.02770673,2
case_01_baseline,Baseline design,121,40.8163,4.1143,4.30417,95.6922,0.114083,80.2013,0.02422309,3
case_01_baseline,Baseline design,122,42.8571,4.1143,4.386979,90.7636,0.117709,79.74,0.02360477,3
case_01_baseline,Baseline design,123,44.898,4.1143,3.674869,93.1141,0.112892,76.0772,0.02652837,3
case_01_baseline,Baseline design,124,46.9388,4.1143,4.092212,90.3523,0.122237,78.8973,0.02343452,3
case_01_baseline,Baseline design,125,48.9796,4.1143,3.620925,94.334,0.120192,79.7329,0.02421329,3
case_01_baseline,Baseline design,126,51.0204,4.1143,4.190682,92.7062,0.125204,77.4771,0.02675811,3
case_01_baseline,Baseline design,127,53.0612,4.1143,3.983965,90.5647,0.133666,78.1459,0.02492051,3
case_01_baseline,Baseline design,128,55.102,4.1143,3.750538,88.3993,0.134133,75.6136,0.02245763,3
case_01_baseline,Baseline design,129,57.1429,4.1143,3.698747,92.9773,0.137034,78.3421,0.02553172,3
case_01_baseline,Baseline design,130,59.1837,4.1143,4.308637,87.7761,0.144476,76.7446,0.02400916,3
case_01_baseline,Baseline design,131,61.2245,4.1143,3.783371,93.5065,0.137058,78.2593,0.0267746,4
case_01_baseline,Baseline design,132,63.2653,4.1143,4.733679,101.1979,0.139002,76.1453,0.02338993,4
case_01_baseline,Baseline design,133,65.3061,4.1143,4.300345,96.7284,0.14317,78.669,0.02568453,4
case_01_baseline,Baseline design,134,67.3469,4.1143,4.005387,94.516,0.148192,79.2459,0.02655459,4
case_01_baseline,Baseline design,135,69.3878,4.1143,4.312757,91.7018,0.142982,77.0756,0.02237374,4
case_01_baseline,Baseline design,136,71.4286,4.1143,3.597234,85.2156,0.154798,76.65,0.02309622,4
case_01_baseline,Baseline design,137,73.4694,4.1143,4.775795,87.3732,0.156715,75.4261,0.0236827,4
case_01_baseline,Baseline design,138,75.5102,4.1143,4.175962,96.4909,0.16533,77.6926,0.02150649,4
