case_id,case_description,element_id,x_mm,y_mm,area_mm2,stress_vm_mpa,displacement_mm,temperature_c,heat_flux_w_mm2,block_id
case_02_added_fillet,Added fillet near high-stress region,1,0.0,0.0,4.543292,81.0951,0.069019,77.2599,0.01897179,1
case_02_added_fillet,Added fillet near high-stress region,2,2.0408,0.0,4.12127,73.9453,0.070854,75.7985,0.01903403,1
case_02_added_fillet,Added fillet near high-stress region,3,4.0816,0.0,4.649896,77.5606,0.067408,74.4726,0.02159812,1
case_02_added_fillet,Added fillet near high-stress region,4,6.1224,0.0,4.446831,79.2435,0.069449,75.7652,0.02043043,1
case_02_added_fillet,Added fillet near high-stress region,5,8.1633,0.0,3.687127,77.7302,0.075836,76.4521,0.0180962,1
case_02_added_fillet,Added fillet near high-stress region,6,10.2041,0.0,4.797285,78.6196,0.078179,75.9159,0.02030499,1
case_02_added_fillet,Added fillet near high-stress region,7,12.2449,0.0,4.52715,72.7455,0.075604,74.153,0.01917183,1
case_02_added_fillet,Added fillet near high-stress region,8,14.2857,0.0,4.558542,79.3978,0.072176,78.2781,0.01972488,1
case_02_added_fillet,Added fillet near high-stress region,9,16.3265,0.0,3.729869,75.8332,0.077492,77.2205,0.01867322,1
case_02_added_fillet,Added fillet near high-stress region,10,18.3673,0.0,4.135763,78.8489,0.074715,75.6129,0.02073501,1
case_02_added_fillet,Added fillet near high-stress region,11,20.4082,0.0,4.035524,80.9468,0.08267,75.6612,0.02233872,2
case_02_added_fillet,Added fillet near high-stress region,12,22.449,0.0,4.735751,80.1704,0.085356,76.4465,0.02176244,2
case_02_added_fillet,Added fillet near high-stress region,13,24.4898,0.0,4.379445,79.144,0.08529,74.6594,0.02053463,2
case_02_added_fillet,Added fillet near high-stress region,14,26.5306,0.0,4.604761,80.2446,0.089447,76.402,0.02020196,2
case_02_added_fillet,Added fillet near high-stress region,15,28.5714,0.0,4.126982,80.4503,0.092321,74.4177,0.02593641,2
case_02_added_fillet,Added fillet near high-stress region,16,30.6122,0.0,3.854715,83.2826,0.093917,75.9296,0.02351671,2
case_02_added_fillet,Added fillet near high-stress region,17,32.6531,0.0,4.266999,77.8995,0.09038,74.6116,0.02203032,2
case_02_added_fillet,Added fillet near high-stress region,18,34.6939,0.0,3.648889,78.5298,0.096529,74.6719,0.02417269,2
case_02_added_fillet,Added fillet near high-stress region,19,36.7347,0.0,4.610894,81.131,0.101592,77.9881,0.02695265,2
case_02_added_fillet,Added fillet near high-stress region,20,38.7755,0.0,4.364079,76.0519,0.108733,76.0839,0.0247629,2
case_02_added_fillet,Added fillet near high-stress region,21,40.8163,0.0,4.523306,72.9919,0.103848,76.2613,0.01978876,3
case_02_added_fillet,Added fillet near high-stress region,22,42.8571,0.0,4.01503,79.2959,0.109708,73.5983,0.02805821,3
case_02_added_fillet,Added fillet near high-stress region,23,44.898,0.0,4.791083,76.766,0.113635,75.2951,0.02138912,3
case_02_added_fillet,Added fillet near high-stress region,24,46.9388,0.0,4.693377,73.1947,0.112002,76.5645,0.02390963,3
case_02_added_fillet,Added fillet near high-stress region,25,48.9796,0.0,4.548868,79.1233,0.120096,76.2435,0.02254644,3
case_02_added_fillet,Added fillet near high-stress region,26,51.0204,0.0,3.813656,82.3453,0.123069,73.4253,0.02313655,3
case_02_added_fillet,Added fillet near high-stress region,27,53.0612,0.0,4.156337,71.609,0.126585,76.2582,0.02464528,3
case_02_added_fillet,Added fillet near high-stress region,28,55.102,0.0,3.623683,80.8767,0.125744,76.449,0.02105648,3
case_02_added_fillet,Added fillet near high-stress region,29,57.1429,0.0,3.762837,68.4101,0.13624,77.5492,0.02394445,3
case_02_added_fillet,Added fillet near high-stress region,30,59.1837,0.0,4.428796,75.884,0.127269,75.2219,0.02569043,3
case_02_added_fillet,Added fillet near high-stress region,31,61.2245,0.0,4.506523,83.7242,0.141197,73.3172,0.0225674,4
case_02_added_fillet,Added fillet near high-stress region,32,63.2653,0.0,4.787068,76.132,0.138785,74.8111,0.0215835,4
case_02_added_fillet,Added fillet near high-stress region,33,65.3061,0.0,3.978882,77.5953,0.144124,74.6903,0.02327111,4
case_02_added_fillet,Added fillet near high-stress region,34,67.3469,0.0,4.035098,79.9503,0.140571,76.8904,0.02275897,4
case_02_added_fillet,Added fillet near high-stress region,35,69.3878,0.0,4.159907,71.2725,0.148355,72.7458,0.02213619,4
case_02_added_fillet,Added fillet near high-stress region,36,71.4286,0.0,3.807148,77.5324,0.153849,75.4674,0.02098617,4
