case_id,case_description,element_id,x_mm,y_mm,area_mm2,stress_vm_mpa,displacement_mm,temperature_c,heat_flux_w_mm2,block_id
case_03_improved_cooling,Improved cooling boundary condition,1,0.0,0.0,4.543292,89.4624,0.076565,66.7916,0.01391087,1
case_03_improved_cooling,Improved cooling boundary condition,2,2.0408,0.0,4.12127,89.1278,0.069467,70.0612,0.0144112,1
case_03_improved_cooling,Improved cooling boundary condition,3,4.0816,0.0,4.649896,89.3685,0.071324,69.0155,0.0178566,1
case_03_improved_cooling,Improved cooling boundary condition,4,6.1224,0.0,4.446831,88.3504,0.073799,68.6113,0.01479325,1
case_03_improved_cooling,Improved cooling boundary condition,5,8.1633,0.0,3.687127,88.8962,0.080849,68.7908,0.01520459,1
case_03_improved_cooling,Improved cooling boundary condition,6,10.2041,0.0,4.797285,91.0392,0.073407,68.4472,0.0152908,1
case_03_improved_cooling,Improved cooling boundary condition,7,12.2449,0.0,4.52715,86.8259,0.074561,67.17,0.02145611,1
case_03_improved_cooling,Improved cooling boundary condition,8,14.2857,0.0,4.558542,83.7025,0.081044,69.1312,0.01745789,1
case_03_improved_cooling,Improved cooling boundary condition,9,16.3265,0.0,3.729869,89.8838,0.084756,68.2921,0.01880025,1
case_03_improved_cooling,Improved cooling boundary condition,10,18.3673,0.0,4.135763,86.2904,0.080953,67.075,0.01661682,1
case_03_improved_cooling,Improved cooling boundary condition,11,20.4082,0.0,4.035524,86.7682,0.088412,69.2044,0.02007578,2
case_03_improved_cooling,Improved cooling boundary condition,12,22.449,0.0,4.735751,88.4484,0.09325,68.0042,0.01627108,2
case_03_improved_cooling,Improved cooling boundary condition,13,24.4898,0.0,4.379445,87.7529,0.0947,68.788,0.01774211,2
case_03_improved_cooling,Improved cooling boundary condition,14,26.5306,0.0,4.604761,93.0247,0.093505,68.3648,0.01837578,2
case_03_improved_cooling,Improved cooling boundary condition,15,28.5714,0.0,4.126982,88.6059,0.093991,69.5842,0.02004548,2
case_03_improved_cooling,Improved cooling boundary condition,16,30.6122,0.0,3.854715,93.2597,0.103624,68.7784,0.01875299,2
case_03_improved_cooling,Improved cooling boundary condition,17,32.6531,0.0,4.266999,89.8852,0.099133,67.4535,0.02243424,2
case_03_improved_cooling,Improved cooling boundary condition,18,34.6939,0.0,3.648889,88.7827,0.105284,68.9,0.02108805,2
case_03_improved_cooling,Improved cooling boundary condition,19,36.7347,0.0,4.610894,89.5467,0.111866,68.9389,0.01946236,2
case_03_improved_cooling,Improved cooling boundary condition,20,38.7755,0.0,4.364079,84.3573,0.10994,69.1264,0.02213464,2
case_03_improved_cooling,Improved cooling boundary condition,21,40.8163,0.0,4.523306,89.9437,0.105231,69.7555,0.02016707,3
case_03_improved_cooling,Improved cooling boundary condition,22,42.8571,0.0,4.01503,91.6231,0.106937,67.7728,0.01996697,3
case_03_improved_cooling,Improved cooling boundary condition,23,44.898,0.0,4.791083,92.0247,0.113427,69.3131,0.02226841,3
case_03_improved_cooling,Improved cooling boundary condition,24,46.9388,0.0,4.693377,83.7485,0.120231,66.4413,0.01729367,3
case_03_improved_cooling,Improved cooling boundary condition,25,48.9796,0.0,4.548868,83.108,0.121995,68.3667,0.02209931,3
case_03_improved_cooling,Improved cooling boundary condition,26,51.0204,0.0,3.813656,86.5056,0.131916,68.1806,0.01992747,3
case_03_improved_cooling,Improved cooling boundary condition,27,53.0612,0.0,4.156337,93.2042,0.127745,70.2472,0.01990108,3
case_03_improved_cooling,Improved cooling boundary condition,28,55.102,0.0,3.623683,89.1146,0.127658,68.3217,0.02386203,3
case_03_improved_cooling,Improved cooling boundary condition,29,57.1429,0.0,3.762837,85.6198,0.127441,69.2384,0.02005598,3
case_03_improved_cooling,Improved cooling boundary condition,30,59.1837,0.0,4.428796,83.2404,0.139747,66.3942,0.02219109,3
case_03_improved_cooling,Improved cooling boundary condition,31,61.2245,0.0,4.506523,85.9288,0.138093,68.0858,0.02105734,4
case_03_improved_cooling,Improved cooling boundary condition,32,63.2653,0.0,4.787068,85.6909,0.135227,67.4919,0.02107153,4
case_03_improved_cooling,Improved cooling boundary condition,33,65.3061,0.0,3.978882,91.5953,0.144515,71.4777,0.01995771,4
case_03_improved_cooling,Improved cooling boundary condition,34,67.3469,0.0,4.035098,91.8642,0.143658,67.7064,0.01969449,4
case_03_improved_cooling,Improved cooling boundary condition,35,69.3878,0.0,4.159907,84.6455,0.149192,68.5941,0.02223492,4
case_03_improved_cooling,Improved cooling boundary condition,36,71.4286,0.0,3.807148,90.9562,0.154212,68.6576,0.02111317,4
case_03_improved_cooling,Improved cooling boundary condition,37,73.4694,0.0,3.732146,90.5977,0.153897,66.5979,0.01872361,4
case_03_improved_cooling,Improved cooling boundary condition,38,75.5102,0.0,4.167652,84.1912,0.158935,67.8737,0.01764207,4
case_03_improved_cooling,Improved cooling boundary condition,39,77.551,0.0,3.8543,88.0267,0.161313,68.9902,0.01805512,4
case_03_improved_cooling,Improved cooling boundary condition,40,79.5918,0.0,4.412127,89.5129,0.16486,68.607,0.02010935,4
case_03_improved_cooling,Improved cooling boundary condition,41,81.6327,0.0,4.119095,88.8914,0.167173,65.7433,0.02009596,5
case_03_improved_cooling,Improved cooling boundary condition,42,83.6735,0.0,4.617251,82.3331,0.172785,67.823,0.01883799,5
case_03_improved_cooling,Improved cooling boundary condition,43,85.7143,0.0,4.45048,88.7792,0.174682,69.7281,0.0152462,5
case_03_improved_cooling,Improved cooling boundary condition,44,87.7551,0.0,3.961931,90.5469,0.184186,69.2087,0.01845734,5
case_03_improved_cooling,Improved cooling boundary condition,45,89.7959,0.0,4.616724,93.8486,0.186255,69.9642,0.01892828,5
case_03_improved_cooling,Improved cooling boundary condition,46,91.8367,0.0,4.582094,85.9792,0.193876,67.3195,0.01687188,5
case_03_improved_cooling,Improved cooling boundary condition,47,93.8776,0.0,4.056533,86.4109,0.200322,70.0391,0.01921376,5
case_03_improved_cooling,Improved cooling boundary condition,48,95.9184,0.0,3.931655,87.589,0.199195,68.4485,0.01389049,5
case_03_improved_cooling,Improved cooling boundary condition,49,97.9592,0.0,4.428099,89.3393,0.202025,70.4123,0.01652396,5
case_03_improved_cooling,Improved cooling boundary condition,50,100.0,0.0,3.744528,88.6596,0.206961,68.5054,0.01358968,5
case_03_improved_cooling,Improved cooling boundary condition,51,0.0,2.0571,3.820293,90.4432,0.075552,66.0657,0.01670781,1
case_03_improved_cooling,Improved cooling boundary condition,52,2.0408,2.0571,3.577786,84.3983,0.074457,69.5422,0.01641451,1
case_03_improved_cooling,Improved cooling boundary condition,53,4.0816,2.0571,4.559625,89.7405,0.075074,67.9913,0.01857092,1
case_03_improved_cooling,Improved cooling boundary condition,54,6.1224,2.0571,4.405876,85.7797,0.072255,68.0723,0.01698905,1
case_03_improved_cooling,Improved cooling boundary condition,55,8.1633,2.0571,4.456651,87.9182,0.081015,66.7803,0.01599948,1
case_03_improved_cooling,Improved cooling boundary condition,56,10.2041,2.0571,4.551822,94.4631,0.078991,70.4709,0.01622877,1
case_03_improved_cooling,Improved cooling boundary condition,57,12.2449,2.0571,4.146506,83.6859,0.086493,67.8991,0.01694242,1
case_03_improved_cooling,Improved cooling boundary condition,58,14.2857,2.0571,4.284829,87.731,0.086044,70.4145,0.01689488,1
case_03_improved_cooling,Improved cooling boundary condition,59,16.3265,2.0571,3.744584,84.4136,0.081668,68.0069,0.02001447,1
case_03_improved_cooling,Improved cooling boundary condition,60,18.3673,2.0571,3.712761,89.609,0.091038,67.411,0.02022829,1
case_03_improved_cooling,Improved cooling boundary condition,61,20.4082,2.0571,4.41035,92.9621,0.077774,70.1076,0.01637788,2
case_03_improved_cooling,Improved cooling boundary condition,62,22.449,2.0571,4.161847,90.111,0.097783,68.436,0.01897378,2
case_03_improved_cooling,Improved cooling boundary condition,63,24.4898,2.0571,4.280414,89.3132,0.08683,68.4474,0.01928789,2
case_03_improved_cooling,Improved cooling boundary condition,64,26.5306,2.0571,4.53201,94.5316,0.096358,66.9854,0.01828337,2
case_03_improved_cooling,Improved cooling boundary condition,65,28.5714,2.0571,4.367925,91.1342,0.098349,67.9739,0.02035605,2
case_03_improved_cooling,Improved cooling boundary condition,66,30.6122,2.0571,4.265733,92.8623,0.103462,69.037,0.02211449,2
case_03_improved_cooling,Improved cooling boundary condition,67,32.6531,2.0571,4.272821,92.4325,0.100043,66.9631,0.02146573,2
case_03_improved_cooling,Improved cooling boundary condition,68,34.6939,2.0571,3.951331,79.7257,0.095227,67.8746,0.02233285,2
case_03_improved_cooling,Improved cooling boundary condition,69,36.7347,2.0571,3.607327,89.3344,0.105009,68.0164,0.01939745,2
case_03_improved_cooling,Improved cooling boundary condition,70,38.7755,2.0571,4.118548,85.6103,0.108008,68.6001,0.02067081,2
case_03_improved_cooling,Improved cooling boundary condition,71,40.8163,2.0571,3.838777,86.2569,0.103308,70.2952,0.01958591,3
case_03_improved_cooling,Improved cooling boundary condition,72,42.8571,2.0571,4.083045,94.1118,0.11436,68.1591,0.02118879,3
case_03_improved_cooling,Improved cooling boundary condition,73,44.898,2.0571,4.643353,87.4593,0.1126,67.6898,0.02139563,3
case_03_improved_cooling,Improved cooling boundary condition,74,46.9388,2.0571,3.863154,95.2511,0.122275,71.8134,0.02238928,3
case_03_improved_cooling,Improved cooling boundary condition,75,48.9796,2.0571,3.641944,83.5922,0.121518,67.9972,0.02294389,3
case_03_improved_cooling,Improved cooling boundary condition,76,51.0204,2.0571,3.922909,84.65,0.133218,68.2876,0.0220072,3
case_03_improved_cooling,Improved cooling boundary condition,77,53.0612,2.0571,3.938287,91.0604,0.127266,68.0863,0.01965952,3
case_03_improved_cooling,Improved cooling boundary condition,78,55.102,2.0571,4.402181,87.1656,0.132975,68.1829,0.01887361,3
case_03_improved_cooling,Improved cooling boundary condition,79,57.1429,2.0571,4.270081,89.4172,0.133408,68.6077,0.02161023,3
case_03_improved_cooling,Improved cooling boundary condition,80,59.1837,2.0571,4.555813,87.9379,0.130817,69.6187,0.02298585,3
case_03_improved_cooling,Improved cooling boundary condition,81,61.2245,2.0571,4.4052,87.8264,0.139584,68.9978,0.02057967,4
case_03_improved_cooling,Improved cooling boundary condition,82,63.2653,2.0571,4.080347,87.2578,0.146551,69.8049,0.01818495,4
case_03_improved_cooling,Improved cooling boundary condition,83,65.3061,2.0571,4.593752,88.9495,0.14912,69.7645,0.02344034,4
case_03_improved_cooling,Improved cooling boundary condition,84,67.3469,2.0571,3.778811,90.5664,0.148754,68.7613,0.02086311,4
case_03_improved_cooling,Improved cooling boundary condition,85,69.3878,2.0571,3.597118,93.9709,0.147354,68.9619,0.02018091,4
case_03_improved_cooling,Improved cooling boundary condition,86,71.4286,2.0571,3.681926,87.6115,0.159051,69.8401,0.01794768,4
case_03_improved_cooling,Improved cooling boundary condition,87,73.4694,2.0571,4.478307,86.9425,0.161481,67.1755,0.01948056,4
case_03_improved_cooling,Improved cooling boundary condition,88,75.5102,2.0571,4.150236,86.4916,0.166545,71.5061,0.02022532,4
case_03_improved_cooling,Improved cooling boundary condition,89,77.551,2.0571,3.771631,93.4645,0.165479,67.8924,0.01967153,4
case_03_improved_cooling,Improved cooling boundary condition,90,79.5918,2.0571,4.199567,90.7363,0.163278,68.0857,0.01760357,4
case_03_improved_cooling,Improved cooling boundary condition,91,81.6327,2.0571,3.760346,81.6735,0.175626,67.052,0.0182298,5
case_03_improved_cooling,Improved cooling boundary condition,92,83.6735,2.0571,4.445511,81.5192,0.176965,67.0871,0.01707027,5
case_03_improved_cooling,Improved cooling boundary condition,93,85.7143,2.0571,4.130436,85.4149,0.186113,69.6739,0.02015759,5
case_03_improved_cooling,Improved cooling boundary condition,94,87.7551,2.0571,4.0484,89.1256,0.18424,71.2288,0.0186603,5
case_03_improved_cooling,Improved cooling boundary condition,95,89.7959,2.0571,3.94826,88.2029,0.187556,67.8234,0.01617911,5
case_03_improved_cooling,Improved cooling boundary condition,96,91.8367,2.0571,4.362338,90.1218,0.193052,68.9204,0.01485295,5
case_03_improved_cooling,Improved cooling boundary condition,97,93.8776,2.0571,4.024207,87.706,0.192673,68.7675,0.01665634,5
case_03_improved_cooling,Improved cooling boundary condition,98,95.9184,2.0571,3.678906,93.211,0.19619,69.7032,0.01512976,5
case_03_improved_cooling,Improved cooling boundary condition,99,97.9592,2.0571,3.717139,91.0224,0.202121,71.165,0.01486782,5
case_03_improved_cooling,Improved cooling boundary condition,100,100.0,2.0571,4.779999,88.5915,0.202604,70.3275,0.01341722,5
case_03_improved_cooling,Improved cooling boundary condition,101,0.0,4.1143,4.712848,92.3432,0.075037,68.2489,0.01360289,1
case_03_improved_cooling,Improved cooling boundary condition,102,2.0408,4.1143,4.449777,82.578,0.084282,69.1705,0.01573468,1
case_03_improved_cooling,Improved cooling boundary condition,103,4.0816,4.1143,3.90337,88.0782,0.081629,69.2902,0.01545952,1
case_03_improved_cooling,Improved cooling boundary condition,104,6.1224,4.1143,4.789167,88.9035,0.079841,68.5129,0.01997072,1
case_03_improved_cooling,Improved cooling boundary condition,105,8.1633,4.1143,4.549331,90.6046,0.086133,67.2223,0.0174789,1
case_03_improved_cooling,Improved cooling boundary condition,106,10.2041,4.1143,4.471419,82.6103,0.078084,67.5792,0.01521552,1
case_03_improved_cooling,Improved cooling boundary condition,107,12.2449,4.1143,4.134473,87.8703,0.092924,69.9157,0.01498766,1
case_03_improved_cooling,Improved cooling boundary condition,108,14.2857,4.1143,3.911395,90.4132,0.082809,70.0396,0.01822749,1
case_03_improved_cooling,Improved cooling boundary condition,109,16.3265,4.1143,3.689915,90.9763,0.094454,68.2889,0.01736375,1
