case_id,case_description,element_id,x_mm,y_mm,area_mm2,stress_vm_mpa,displacement_mm,temperature_c,heat_flux_w_mm2,block_id
case_04_thicker_wall,Increased wall thickness,1,0.0,0.0,4.543292,86.0309,0.050575,76.8222,0.01699848,1
case_04_thicker_wall,Increased wall thickness,2,2.0408,0.0,4.12127,80.1356,0.048097,75.1321,0.01983063,1
case_04_thicker_wall,Increased wall thickness,3,4.0816,0.0,4.649896,79.7959,0.043599,76.8554,0.01874385,1
case_04_thicker_wall,Increased wall thickness,4,6.1224,0.0,4.446831,75.4884,0.050226,78.8175,0.0179591,1
case_04_thicker_wall,Increased wall thickness,5,8.1633,0.0,3.687127,85.3058,0.05474,77.9502,0.02021607,1
case_04_thicker_wall,Increased wall thickness,6,10.2041,0.0,4.797285,82.2298,0.059329,75.2992,0.02052703,1
case_04_thicker_wall,Increased wall thickness,7,12.2449,0.0,4.52715,75.7032,0.0593,76.5319,0.02169354,1
case_04_thicker_wall,Increased wall thickness,8,14.2857,0.0,4.558542,86.2757,0.056206,77.1055,0.02052486,1
case_04_thicker_wall,Increased wall thickness,9,16.3265,0.0,3.729869,80.9692,0.055884,74.4396,0.02153302,1
case_04_thicker_wall,Increased wall thickness,10,18.3673,0.0,4.135763,81.4971,0.05923,74.4809,0.02266945,1
case_04_thicker_wall,Increased wall thickness,11,20.4082,0.0,4.035524,77.058,0.057456,76.7008,0.02089461,2
case_04_thicker_wall,Increased wall thickness,12,22.449,0.0,4.735751,84.185,0.054359,76.7164,0.02409231,2
case_04_thicker_wall,Increased wall thickness,13,24.4898,0.0,4.379445,84.3179,0.058158,74.3084,0.02312314,2
case_04_thicker_wall,Increased wall thickness,14,26.5306,0.0,4.604761,82.4719,0.071408,76.9803,0.02176225,2
case_04_thicker_wall,Increased wall thickness,15,28.5714,0.0,4.126982,81.2223,0.074957,77.8189,0.02204492,2
case_04_thicker_wall,Increased wall thickness,16,30.6122,0.0,3.854715,91.8867,0.072209,76.2523,0.02382952,2
case_04_thicker_wall,Increased wall thickness,17,32.6531,0.0,4.266999,78.4508,0.070672,76.5857,0.02340052,2
case_04_thicker_wall,Increased wall thickness,18,34.6939,0.0,3.648889,80.0712,0.067087,77.1993,0.02558017,2
case_04_thicker_wall,Increased wall thickness,19,36.7347,0.0,4.610894,84.9828,0.07381,77.0401,0.02421478,2
case_04_thicker_wall,Increased wall thickness,20,38.7755,0.0,4.364079,78.8468,0.078738,74.5105,0.02526955,2
case_04_thicker_wall,Increased wall thickness,21,40.8163,0.0,4.523306,78.4796,0.081486,75.4263,0.02368486,3
case_04_thicker_wall,Increased wall thickness,22,42.8571,0.0,4.01503,86.1471,0.082835,76.0369,0.02503827,3
case_04_thicker_wall,Increased wall thickness,23,44.898,0.0,4.791083,84.2176,0.086869,75.4785,0.02713271,3
case_04_thicker_wall,Increased wall thickness,24,46.9388,0.0,4.693377,83.7239,0.091788,78.2714,0.02499517,3
case_04_thicker_wall,Increased wall thickness,25,48.9796,0.0,4.548868,82.6132,0.084417,77.272,0.02441697,3
case_04_thicker_wall,Increased wall thickness,26,51.0204,0.0,3.813656,79.5172,0.099313,75.1784,0.02395071,3
case_04_thicker_wall,Increased wall thickness,27,53.0612,0.0,4.156337,81.0307,0.0821,76.2524,0.02518924,3
case_04_thicker_wall,Increased wall thickness,28,55.102,0.0,3.623683,81.6229,0.089187,77.8656,0.02727343,3
case_04_thicker_wall,Increased wall thickness,29,57.1429,0.0,3.762837,84.8522,0.095252,75.7332,0.02302744,3
case_04_thicker_wall,Increased wall thickness,30,59.1837,0.0,4.428796,83.3758,0.098831,77.5301,0.02488301,3
case_04_thicker_wall,Increased wall thickness,31,61.2245,0.0,4.506523,78.6351,0.098122,78.1675,0.02224427,4
case_04_thicker_wall,Increased wall thickness,32,63.2653,0.0,4.787068,84.6446,0.099109,77.9666,0.02402938,4
case_04_thicker_wall,Increased wall thickness,33,65.3061,0.0,3.978882,76.0058,0.112174,76.7233,0.02484253,4
case_04_thicker_wall,Increased wall thickness,34,67.3469,0.0,4.035098,80.7588,0.103491,78.0076,0.02185542,4
case_04_thicker_wall,Increased wall thickness,35,69.3878,0.0,4.159907,77.883,0.103916,75.8792,0.02331152,4
case_04_thicker_wall,Increased wall thickness,36,71.4286,0.0,3.807148,78.8802,0.117113,79.4886,0.02414344,4
case_04_thicker_wall,Increased wall thickness,37,73.4694,0.0,3.732146,88.6231,0.11613,76.7941,0.02361058,4
case_04_thicker_wall,Increased wall thickness,38,75.5102,0.0,4.167652,76.7327,0.119522,77.8808,0.02360701,4
case_04_thicker_wall,Increased wall thickness,39,77.551,0.0,3.8543,79.0129,0.118363,76.0699,0.02130117,4
case_04_thicker_wall,Increased wall thickness,40,79.5918,0.0,4.412127,83.6664,0.114538,77.1033,0.02284388,4
case_04_thicker_wall,Increased wall thickness,41,81.6327,0.0,4.119095,80.235,0.122868,77.1558,0.02113698,5
case_04_thicker_wall,Increased wall thickness,42,83.6735,0.0,4.617251,82.4245,0.118987,75.3887,0.02272047,5
case_04_thicker_wall,Increased wall thickness,43,85.7143,0.0,4.45048,86.8834,0.128548,75.3529,0.01778162,5
case_04_thicker_wall,Increased wall thickness,44,87.7551,0.0,3.961931,84.1712,0.132754,76.2573,0.02039876,5
case_04_thicker_wall,Increased wall thickness,45,89.7959,0.0,4.616724,80.2396,0.137027,77.8289,0.02055615,5
case_04_thicker_wall,Increased wall thickness,46,91.8367,0.0,4.582094,81.412,0.134965,74.3045,0.0219975,5
case_04_thicker_wall,Increased wall thickness,47,93.8776,0.0,4.056533,83.7371,0.140959,76.0666,0.0196617,5
case_04_thicker_wall,Increased wall thickness,48,95.9184,0.0,3.931655,84.1025,0.137006,78.0736,0.01936653,5
case_04_thicker_wall,Increased wall thickness,49,97.9592,0.0,4.428099,81.9526,0.147166,75.023,0.01919622,5
case_04_thicker_wall,Increased wall thickness,50,100.0,0.0,3.744528,83.1421,0.148698,78.0061,0.02005963,5
case_04_thicker_wall,Increased wall thickness,51,0.0,2.0571,3.820293,83.1531,0.049535,75.1693,0.01760716,1
case_04_thicker_wall,Increased wall thickness,52,2.0408,2.0571,3.577786,81.5724,0.055266,75.4233,0.0165265,1
case_04_thicker_wall,Increased wall thickness,53,4.0816,2.0571,4.559625,79.7909,0.058172,76.3468,0.01668863,1
case_04_thicker_wall,Increased wall thickness,54,6.1224,2.0571,4.405876,84.5324,0.054951,78.772,0.02052234,1
case_04_thicker_wall,Increased wall thickness,55,8.1633,2.0571,4.456651,82.9938,0.05229,75.7561,0.02030093,1
case_04_thicker_wall,Increased wall thickness,56,10.2041,2.0571,4.551822,74.7496,0.057333,74.4447,0.02001433,1
case_04_thicker_wall,Increased wall thickness,57,12.2449,2.0571,4.146506,79.2304,0.059962,74.842,0.01994332,1
case_04_thicker_wall,Increased wall thickness,58,14.2857,2.0571,4.284829,80.5584,0.055641,77.6428,0.02150646,1
case_04_thicker_wall,Increased wall thickness,59,16.3265,2.0571,3.744584,81.6905,0.05621,74.8987,0.02194999,1
case_04_thicker_wall,Increased wall thickness,60,18.3673,2.0571,3.712761,86.7921,0.063672,77.9499,0.02274115,1
case_04_thicker_wall,Increased wall thickness,61,20.4082,2.0571,4.41035,93.9905,0.066286,76.6079,0.02072862,2
case_04_thicker_wall,Increased wall thickness,62,22.449,2.0571,4.161847,74.384,0.073055,76.4853,0.02009807,2
case_04_thicker_wall,Increased wall thickness,63,24.4898,2.0571,4.280414,84.2449,0.068638,76.8805,0.02170839,2
case_04_thicker_wall,Increased wall thickness,64,26.5306,2.0571,4.53201,83.5719,0.062708,75.5623,0.02136601,2
case_04_thicker_wall,Increased wall thickness,65,28.5714,2.0571,4.367925,82.7849,0.077323,76.6884,0.02158091,2
case_04_thicker_wall,Increased wall thickness,66,30.6122,2.0571,4.265733,85.3321,0.075049,75.0909,0.02630989,2
case_04_thicker_wall,Increased wall thickness,67,32.6531,2.0571,4.272821,83.8961,0.064519,78.1407,0.02080103,2
case_04_thicker_wall,Increased wall thickness,68,34.6939,2.0571,3.951331,81.9801,0.070173,75.2888,0.0251276,2
case_04_thicker_wall,Increased wall thickness,69,36.7347,2.0571,3.607327,83.1715,0.074124,77.0476,0.02597939,2
case_04_thicker_wall,Increased wall thickness,70,38.7755,2.0571,4.118548,84.814,0.081279,75.2786,0.02626949,2
